event_id,datetime,latitude,longitude,depth_km,magnitude
267,2010-11-14 18:35:07,41.08333,141.48333,7.13,0.9
273,2010-11-22 18:57:00,36.63333,144.96667,8.26,1.4
275,2010-11-26 20:25:44,36.25,143.7,8.71,0.8
277,2010-12-08 08:55:55,40.96667,145.33333,4.52,1.1
278,2010-12-11 00:01:22,41.13333,143.85,36.31,4.2
279,2010-12-11 00:03:58,39.25,141.01667,37.67,2.5
280,2010-12-11 06:10:28,36.03333,142.75,12.28,4.7
282,2010-12-12 05:02:14,36.51667,144.23333,7.1,1.0
283,2010-12-12 11:21:08,39.98333,143.43333,74.87,0.8
287,2010-12-22 21:46:05,36.18333,144.45,6.89,0.8
288,2010-12-23 10:39:58,36.66667,145.15,8.42,1.4
292,2010-12-30 10:47:11,38.21667,140.4,22.53,2.5
293,2011-01-02 22:31:31,40.25,145.2,5.19,1.0
301,2011-01-19 14:35:36,37.78333,140.21667,5.81,1.9
305,2011-01-26 23:00:45,41.91667,141.5,81.62,0.8
306,2011-01-29 21:07:46,39.4,145.2,19.14,1.2
308,2011-02-01 06:59:21,40.01667,142.63333,22.2,3.6
309,2011-02-03 21:13:21,36.06667,144.95,8.21,1.7
312,2011-02-09 08:01:07,38.51667,144.2,6.92,1.1
314,2011-02-09 18:35:12,40.35,143.95,6.2,0.9
315,2011-02-10 12:09:05,37.73333,143.9,2.25,4.1
317,2011-02-13 09:49:45,40.85,142.63333,194.88,2.5
319,2011-02-16 17:39:57,41.8,140.23333,48.51,0.9
320,2011-02-18 15:43:29,40.75,140.11667,46.15,1.2
322,2011-02-19 09:01:07,40.16667,143.28333,8.62,1.0
324,2011-02-19 15:34:40,41.0,141.91667,47.27,1.2
327,2011-02-22 05:35:14,37.83333,145.86667,5.22,0.9
328,2011-02-23 15:23:12,38.23333,145.51667,55.51,4.2
329,2011-02-24 00:50:21,39.21667,143.86667,7.38,0.8
330,2011-02-24 03:15:03,39.51667,144.28333,46.19,1.0
331,2011-02-24 19:49:01,38.96667,142.15,13.31,4.2
336,2011-02-28 23:45:59,36.0,142.66667,9.44,1.0
338,2011-03-02 22:14:32,40.75,143.51667,62.68,0.9
342,2011-03-06 09:17:24,41.08333,143.5,38.67,1.2
343,2011-03-11 15:18:12,37.73333,143.93333,40.84,1.3
344,2011-03-11 15:35:24,39.95,144.6,37.92,1.7
345,2011-03-12 00:13:12,41.36667,142.15,22.82,4.8
347,2011-03-12 12:51:03,37.4,145.33333,32.0,2.2
348,2011-03-12 14:55:58,41.53333,140.26667,7.14,2.4
349,2011-03-12 16:04:19,37.2,145.53333,17.39,2.3
350,2011-03-12 17:36:23,41.48333,140.8,28.23,4.5
351,2011-03-12 20:57:28,38.6,143.38333,30.1,2.0
352,2011-03-12 22:45:38,39.85,144.3,30.5,3.0
353,2011-03-12 23:07:18,40.45,144.81667,32.97,2.0
354,2011-03-13 00:03:22,39.21667,143.61667,27.71,2.6
355,2011-03-13 00:36:38,38.53333,145.01667,33.73,1.9
356,2011-03-13 01:01:46,41.2,145.53333,33.73,1.9
357,2011-03-13 01:43:55,38.86667,144.85,32.14,2.3
360,2011-03-13 13:11:39,38.28333,145.53333,11.19,2.8
361,2011-03-13 14:41:51,38.7,142.53333,6.46,3.8
363,2011-03-13 15:23:45,40.4,143.85,35.47,1.5
364,2011-03-13 20:26:31,39.26667,142.8,14.39,0.8
365,2011-03-13 21:22:51,41.58333,143.03333,34.55,1.6
366,2011-03-14 00:00:53,37.56667,144.36667,28.72,1.9
367,2011-03-14 00:49:10,37.41667,142.28333,8.86,4.2
369,2011-03-14 14:10:22,41.35,145.68333,24.89,3.8
370,2011-03-14 20:37:50,41.71667,145.0,20.7,2.7
371,2011-03-14 21:25:28,38.1,145.63333,28.04,1.2
372,2011-03-14 21:40:35,41.45,144.91667,38.82,1.0
375,2011-03-15 14:58:25,39.25,145.16667,37.39,0.8
376,2011-03-16 01:54:02,40.06667,144.75,36.9,1.3
378,2011-03-16 18:47:35,39.73333,145.61667,38.45,0.8
380,2011-03-16 22:48:04,38.9,145.43333,35.1,1.7
383,2011-03-17 05:49:06,38.23333,145.03333,31.58,1.7
384,2011-03-17 07:24:33,38.93333,143.7,38.77,0.9
385,2011-03-17 10:55:51,36.0,143.0,34.48,2.8
386,2011-03-17 14:33:37,37.8,142.1,49.82,0.9
387,2011-03-17 17:42:10,39.28333,143.85,44.0,2.0
388,2011-03-17 18:36:37,41.86667,142.53333,9.96,0.9
390,2011-03-18 08:47:56,39.35,145.91667,21.33,3.8
391,2011-03-18 12:59:38,37.33333,144.23333,41.0,1.2
392,2011-03-18 18:05:52,36.15,143.05,38.81,1.4
393,2011-03-18 19:50:10,36.63333,143.33333,38.89,1.3
394,2011-03-18 21:04:08,38.83333,141.16667,26.97,2.6
395,2011-03-18 23:27:56,40.53333,142.46667,49.14,0.9
396,2011-03-19 10:04:02,39.96667,144.26667,40.72,1.3
397,2011-03-19 22:21:03,40.53333,145.33333,42.33,0.9
399,2011-03-20 05:34:07,38.45,141.35,8.47,4.6
402,2011-03-20 22:49:48,38.01667,144.46667,50.51,1.1
403,2011-03-21 15:33:27,37.96667,142.36667,46.68,1.3
404,2011-03-21 22:49:24,39.1,144.61667,53.91,1.1
405,2011-03-22 02:30:40,39.03333,143.18333,26.67,1.0
406,2011-03-22 04:19:06,38.91667,141.63333,42.58,1.9
407,2011-03-22 10:42:39,40.86667,146.0,38.08,1.3
408,2011-03-22 10:59:17,39.16667,144.05,54.76,0.8
410,2011-03-23 02:08:16,38.36667,142.53333,38.88,0.9
414,2011-03-24 03:35:32,37.48333,145.75,34.68,1.8
417,2011-03-25 08:11:45,36.98333,143.28333,38.7,1.4
418,2011-03-25 23:01:30,40.18333,145.0,39.49,1.1
420,2011-03-26 18:54:06,39.7,144.58333,38.69,1.1
421,2011-03-27 09:05:47,36.05,143.31667,19.87,2.5
422,2011-03-27 12:43:37,40.61667,145.51667,42.07,1.4
423,2011-03-27 20:16:24,41.71667,145.53333,37.39,1.9
424,2011-03-27 23:18:09,36.35,142.63333,15.68,1.0
425,2011-03-28 02:26:51,36.1,146.0,8.31,0.9
426,2011-03-28 08:28:56,41.0,145.03333,18.15,1.0
427,2011-03-28 10:00:17,39.65,143.8,40.33,1.0
429,2011-03-29 10:29:44,39.56667,144.01667,19.07,1.1
431,2011-03-31 07:33:01,40.16667,145.68333,39.43,1.2
433,2011-04-03 08:40:53,36.18333,144.21667,21.03,1.6
434,2011-04-03 09:35:14,37.35,145.48333,44.93,1.2
435,2011-04-03 16:50:12,40.61667,145.41667,39.39,1.1
437,2011-04-04 03:29:42,40.8,142.18333,41.81,3.1
438,2011-04-04 04:06:38,36.0,141.13333,102.65,3.6
439,2011-04-04 04:35:30,40.95,143.03333,43.16,2.9
440,2011-04-04 10:56:20,38.53333,145.88333,39.03,1.5
441,2011-04-05 01:17:55,39.8,144.63333,40.33,1.4
443,2011-04-05 16:25:18,38.11667,144.3,29.43,4.8
448,2011-04-06 21:14:39,36.41667,141.41667,42.33,0.9
452,2011-04-08 05:26:08,37.18333,142.95,25.33,4.7
455,2011-04-09 07:05:20,38.18333,145.68333,39.13,1.1
456,2011-04-09 15:59:04,36.11667,142.6,39.1,0.8
457,2011-04-09 23:56:53,36.98333,145.88333,22.24,1.2
458,2011-04-10 05:37:30,39.55,145.46667,37.87,1.2
460,2011-04-10 12:57:55,41.96667,144.18333,38.25,0.9
461,2011-04-10 20:06:35,41.6,143.76667,39.78,1.4
463,2011-04-12 07:32:01,37.6,142.28333,21.73,1.7
465,2011-04-12 16:23:18,36.66667,143.76667,38.97,1.0
466,2011-04-12 22:38:40,38.08333,144.83333,37.37,1.0
467,2011-04-13 02:40:57,36.23333,142.36667,36.91,0.9
469,2011-04-13 23:03:23,40.16667,143.0,12.86,4.4
470,2011-04-14 03:34:19,38.58333,144.58333,62.1,1.4
471,2011-04-14 21:22:12,40.23333,144.85,39.6,1.2
473,2011-04-15 03:39:29,40.7,145.1,25.28,3.3
474,2011-04-15 14:08:37,40.05,145.96667,27.78,0.8
476,2011-04-16 23:17:14,41.53333,144.83333,41.07,1.3
478,2011-04-18 04:44:41,40.9,145.91667,43.51,1.5
479,2011-04-18 10:18:03,37.3,142.61667,48.4,0.8
480,2011-04-18 22:23:44,38.78333,141.81667,49.73,1.1
483,2011-04-20 10:05:30,39.45,143.65,7.41,1.9
484,2011-04-21 16:53:51,38.41667,144.5,39.17,1.2
485,2011-04-21 18:53:39,41.1,145.53333,56.32,1.8
486,2011-04-21 21:49:45,37.6,142.8,14.61,2.0
490,2011-04-24 04:35:08,36.48333,140.06667,16.9,2.5
491,2011-04-24 11:19:37,40.25,145.91667,40.14,1.2
493,2011-04-25 00:19:03,37.45,145.68333,37.46,1.2
494,2011-04-25 11:10:31,40.93333,141.81667,21.59,1.8
497,2011-04-27 09:14:57,38.2,145.8,15.72,1.3
498,2011-04-27 14:16:31,36.81667,144.03333,17.82,2.3
501,2011-04-28 05:12:30,37.76667,145.35,36.93,1.3
502,2011-05-01 09:41:24,41.31667,145.78333,28.31,0.8
504,2011-05-02 09:06:32,41.78333,141.38333,23.48,2.5
507,2011-05-05 19:15:39,37.6,142.58333,22.61,1.7
508,2011-05-06 12:50:51,39.63333,144.21667,4.57,0.8
509,2011-05-06 19:13:18,39.25,143.03333,37.2,0.8
511,2011-05-08 01:27:41,36.8,140.01667,5.94,3.9
513,2011-05-09 00:47:56,40.46667,141.1,71.06,2.3
516,2011-05-11 05:49:40,40.4,145.0,35.41,0.8
519,2011-05-12 12:47:02,37.68333,140.73333,20.07,3.2
521,2011-05-14 04:55:42,37.66667,142.43333,36.22,4.1
522,2011-05-14 10:41:22,41.23333,143.2,41.39,4.1
523,2011-05-15 03:18:30,37.48333,142.86667,13.78,1.1
524,2011-05-16 21:14:38,40.48333,143.53333,7.8,1.3
525,2011-05-17 04:23:49,38.68333,143.76667,45.1,1.0
528,2011-05-23 22:21:28,41.53333,143.28333,41.39,1.1
532,2011-05-27 12:06:17,41.23333,141.1,40.96,1.7
533,2011-05-27 22:15:49,36.76667,144.55,7.1,1.0
534,2011-05-27 23:27:00,36.93333,145.73333,7.09,1.0
535,2011-05-28 10:08:13,39.1,145.88333,36.51,1.5
536,2011-05-30 13:06:17,36.4,145.1,20.18,3.0
537,2011-05-30 13:16:11,37.46667,145.2,20.63,2.4
538,2011-06-01 03:04:43,41.5,143.46667,37.26,0.8
540,2011-06-01 23:44:35,40.16667,143.38333,42.19,1.4
541,2011-06-03 15:45:51,40.13333,144.85,40.76,1.8
542,2011-06-04 10:10:27,40.06667,145.3,41.9,1.1
543,2011-06-05 00:57:38,38.68333,144.5,6.36,0.8
545,2011-06-08 15:10:06,41.36667,145.88333,30.54,3.4
546,2011-06-08 22:55:30,36.4,143.6,9.5,0.8
547,2011-06-13 20:57:40,37.46667,145.93333,48.43,1.8
548,2011-06-15 09:04:10,40.91667,141.73333,3.14,1.2
549,2011-06-15 09:04:35,41.01667,142.28333,3.33,1.2
551,2011-06-17 06:45:23,36.88333,143.91667,40.57,1.3
553,2011-06-18 15:21:23,36.93333,145.63333,36.4,1.5
556,2011-06-24 00:44:34,38.08333,144.63333,42.13,0.9
557,2011-06-27 14:31:59,39.63333,144.71667,39.19,1.5
558,2011-07-04 10:44:12,36.81667,140.93333,10.48,0.9
559,2011-07-05 07:01:09,36.73333,143.71667,44.83,1.1
560,2011-07-06 04:15:37,36.83333,143.46667,7.94,0.9
564,2011-07-11 07:43:46,37.5,142.65,9.99,2.6
566,2011-07-12 02:08:27,36.41667,145.88333,5.88,1.2
567,2011-07-12 18:33:54,38.56667,145.2,23.59,1.6
571,2011-07-19 02:57:57,37.86667,141.13333,18.46,3.7
572,2011-07-20 07:02:52,38.81667,145.36667,60.6,2.5
573,2011-07-21 03:18:17,37.8,145.5,15.43,2.0
581,2011-07-30 11:02:29,39.08333,140.3,14.43,4.5
583,2011-08-01 06:32:02,38.93333,145.2,15.38,1.7
584,2011-08-03 00:31:30,40.95,145.35,37.19,1.4
587,2011-08-09 18:01:26,41.26667,143.2,41.41,1.6
590,2011-08-11 12:06:55,39.9,143.91667,39.05,1.2
593,2011-08-15 01:31:31,41.13333,144.53333,94.54,0.8
594,2011-08-16 07:47:30,37.03333,143.96667,37.7,4.6
595,2011-08-17 18:34:26,36.15,141.38333,16.98,1.8
596,2011-08-18 00:15:37,36.31667,141.01667,16.69,1.4
597,2011-08-18 18:50:04,37.7,142.5,49.56,0.8
598,2011-08-20 03:47:38,40.73333,144.31667,9.53,1.0
601,2011-08-27 09:44:09,39.96667,140.63333,11.15,1.0
602,2011-08-27 16:45:19,40.38333,144.2,39.04,1.0
604,2011-08-29 17:02:52,36.6,144.08333,40.18,1.0
605,2011-08-30 05:06:34,39.88333,142.71667,67.1,0.8
606,2011-08-31 12:01:37,41.18333,144.18333,31.74,0.8
607,2011-09-01 07:38:23,41.53333,141.08333,51.29,0.9
608,2011-09-03 21:09:40,37.95,141.68333,9.01,1.0
610,2011-09-06 20:29:54,38.85,140.65,7.66,1.0
615,2011-09-09 20:54:40,36.03333,144.71667,6.38,1.3
616,2011-09-10 03:33:57,38.8,141.4,145.25,4.6
618,2011-09-11 21:18:40,41.08333,145.31667,38.38,1.2
619,2011-09-12 02:08:31,39.15,141.51667,7.84,4.5
620,2011-09-13 05:32:30,38.81667,140.6,7.93,0.8
622,2011-09-14 21:04:40,39.66667,143.73333,37.31,1.6
624,2011-09-18 09:10:27,38.21667,141.11667,4.0,3.4
629,2011-10-02 07:46:41,41.91667,141.5,86.09,1.0
634,2011-10-06 22:10:58,38.5,143.53333,32.97,2.0
635,2011-10-08 05:20:52,37.31667,142.96667,40.79,0.9
636,2011-10-08 13:58:35,40.23333,144.03333,11.71,0.9
637,2011-10-12 14:49:30,41.9,142.53333,52.88,3.9
640,2011-10-15 05:29:49,40.6,140.61667,3.28,1.9
643,2011-10-16 10:24:49,40.65,140.41667,84.31,1.2
644,2011-10-19 06:59:06,38.56667,145.0,6.78,1.0
645,2011-10-19 16:42:23,36.18333,143.51667,39.84,1.0
651,2011-10-27 13:16:57,41.4,144.26667,5.61,0.8
652,2011-10-29 01:15:17,39.61667,145.81667,41.24,1.8
653,2011-11-02 22:28:04,39.66667,145.51667,28.19,0.9
654,2011-11-06 05:33:20,38.08333,145.9,42.25,1.3
655,2011-11-06 15:52:52,38.16667,144.51667,41.53,1.3
657,2011-11-07 06:49:47,38.35,142.1,11.47,0.9
658,2011-11-11 08:34:45,41.11667,145.7,41.18,1.6
659,2011-11-12 11:55:35,41.88333,145.55,32.44,3.6
660,2011-11-12 22:32:18,37.1,141.36667,37.9,1.3
661,2011-11-14 06:27:53,39.31667,140.03333,65.14,2.8
662,2011-11-14 15:09:20,36.91667,144.38333,1.49,1.6
663,2011-11-14 19:26:24,39.0,140.23333,65.48,3.6
664,2011-11-15 22:11:56,38.43333,140.65,63.87,2.4
665,2011-11-15 22:40:27,37.46667,141.11667,63.45,2.9
666,2011-11-16 00:58:54,37.2,143.91667,8.0,1.0
669,2011-11-16 20:22:51,38.25,140.46667,8.7,1.5
670,2011-11-17 15:57:57,40.35,141.51667,43.39,0.8
671,2011-11-19 13:31:07,39.8,144.15,3.84,0.9
673,2011-11-21 01:07:45,39.85,140.45,63.22,4.2
677,2011-11-22 09:09:01,41.56667,143.35,41.98,1.9
678,2011-11-22 16:39:22,36.9,142.75,57.12,4.9
679,2011-11-23 05:35:19,37.98333,141.25,70.7,3.1
680,2011-11-24 01:37:26,40.66667,140.38333,65.27,2.3
681,2011-11-25 00:33:22,38.71667,140.86667,62.64,3.5
682,2011-11-25 03:52:59,38.56667,140.05,61.64,3.7
685,2011-11-27 10:26:00,38.6,141.78333,28.58,1.4
689,2011-11-28 22:12:27,36.2,141.03333,54.42,2.2
693,2011-12-02 07:16:59,38.0,143.08333,27.53,0.8
695,2011-12-06 10:00:34,38.5,140.2,68.12,3.0
697,2011-12-06 20:55:19,38.63333,143.88333,37.61,1.3
699,2011-12-07 04:11:12,41.16667,140.28333,76.49,1.9
700,2011-12-11 00:21:40,39.11667,140.41667,67.78,4.4
702,2011-12-13 11:16:58,41.68333,143.53333,6.23,1.1
703,2011-12-14 04:16:45,39.26667,141.68333,41.11,1.8
708,2011-12-21 13:41:17,39.86667,143.48333,122.39,3.0
712,2011-12-31 05:49:16,39.35,140.0,5.38,1.7
713,2012-01-01 04:07:45,36.63333,140.71667,66.2,2.7
716,2012-01-03 20:00:21,40.38333,144.81667,41.05,1.4
719,2012-01-05 07:55:05,39.38333,140.98333,5.81,2.2
721,2012-01-10 05:10:14,39.1,145.65,73.71,2.4
722,2012-01-11 04:55:54,39.2,140.01667,388.63,1.8
723,2012-01-13 11:16:19,39.23333,144.66667,22.64,1.2
724,2012-01-15 22:41:20,36.26667,145.56667,26.35,1.5
725,2012-01-17 00:53:03,41.58333,141.41667,28.46,0.8
728,2012-01-21 04:51:08,41.63333,144.83333,39.14,0.8
730,2012-01-23 10:07:44,37.76667,141.55,48.46,0.9
732,2012-01-25 17:04:39,37.21667,141.9,44.64,2.0
733,2012-01-26 07:59:53,40.91667,143.2,38.08,0.8
734,2012-01-27 11:27:06,40.96667,142.38333,38.5,0.9
737,2012-01-31 21:19:01,37.4,144.26667,25.87,0.8
738,2012-02-05 20:30:52,38.61667,140.75,68.25,3.5
742,2012-02-13 07:51:14,40.28333,143.55,29.54,0.8
746,2012-02-15 20:45:04,39.53333,144.25,38.49,1.6
747,2012-02-15 22:28:19,36.35,142.15,9.89,0.8
750,2012-02-17 21:48:25,40.21667,143.21667,9.84,1.1
751,2012-02-17 23:08:45,40.36667,144.01667,8.13,0.8
753,2012-02-18 06:46:35,36.7,143.36667,391.51,2.0
755,2012-02-19 00:50:15,38.45,143.05,15.75,1.9
758,2012-02-29 11:49:28,36.71667,145.26667,39.62,1.5
760,2012-03-01 12:14:33,40.91667,145.86667,4.4,0.8
762,2012-03-02 05:24:35,37.4,144.08333,9.67,0.9
763,2012-03-02 15:18:30,36.06667,145.08333,61.56,0.8
767,2012-03-07 03:41:43,38.66667,140.25,69.7,3.0
768,2012-03-09 09:44:53,41.66667,143.06667,9.67,0.8
769,2012-03-09 13:14:37,36.93333,144.56667,8.69,0.8
770,2012-03-15 05:08:39,37.11667,142.01667,22.19,3.5
777,2012-03-24 09:17:44,40.71667,145.41667,58.8,0.8
779,2012-03-26 05:03:50,39.98333,143.55,19.16,1.0
780,2012-03-26 13:22:50,38.71667,140.55,37.59,0.9
781,2012-03-27 01:53:37,41.61667,143.9,35.55,1.2
782,2012-03-28 12:43:52,36.15,141.4,26.3,0.9
785,2012-03-31 07:17:08,37.95,142.55,33.21,1.6
787,2012-04-01 06:48:41,37.96667,144.18333,15.22,2.1
788,2012-04-06 10:38:23,40.76667,143.76667,40.07,1.3
789,2012-04-06 15:30:11,36.96667,143.0,10.82,1.4
791,2012-04-07 10:37:32,38.41667,140.4,18.73,4.2
792,2012-04-07 23:25:48,39.03333,143.33333,5.51,0.8
794,2012-04-13 00:44:29,38.0,145.56667,7.81,1.3
795,2012-04-14 20:39:15,37.7,140.75,18.05,4.0
797,2012-04-20 04:17:44,39.96667,144.55,6.92,0.8
799,2012-04-20 09:31:23,39.51667,145.95,4.5,0.8
801,2012-04-22 11:54:05,40.6,144.58333,42.85,1.4
804,2012-04-24 22:35:31,41.46667,140.35,12.79,4.1
805,2012-04-25 06:10:47,37.5,143.31667,41.04,1.7
806,2012-04-26 08:27:09,39.68333,145.63333,23.56,1.4
817,2012-05-02 02:25:20,38.5,141.15,112.9,4.3
819,2012-05-03 18:08:02,36.45,143.48333,11.96,2.9
822,2012-05-04 10:24:56,36.33333,145.08333,41.24,1.1
828,2012-05-09 20:31:14,37.85,140.1,20.35,3.7
832,2012-05-15 11:44:56,41.98333,141.71667,84.31,0.8
835,2012-05-18 21:34:14,40.26667,140.68333,265.07,2.1
840,2012-05-26 10:21:03,38.46667,140.95,35.24,1.5
841,2012-05-26 14:10:47,36.06667,143.21667,16.65,1.5
843,2012-05-26 17:29:46,38.51667,145.76667,60.47,1.0
844,2012-05-27 04:22:12,37.18333,145.05,30.23,2.2
845,2012-05-27 05:21:51,41.21667,144.78333,87.9,1.0
846,2012-05-27 19:44:48,37.88333,141.46667,5.28,1.5
847,2012-05-28 06:53:00,38.3,140.4,39.56,1.1
848,2012-05-28 21:52:41,39.8,144.71667,40.74,1.6
849,2012-05-31 06:24:32,41.16667,140.65,24.7,1.6
